,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,51,31,0.622,—,111.8,104.5,7.02,2022,Boston Celtics* (2)
1,51,31,0.622,—,109.9,107.3,2.57,2022,Philadelphia 76ers* (4)
2,48,34,0.585,3.0,109.4,107.1,2.38,2022,Toronto Raptors* (5)
3,44,38,0.537,7.0,112.9,112.1,0.82,2022,Brooklyn Nets* (7)
4,37,45,0.451,14.0,106.5,106.6,-0.01,2022,New York Knicks (11)
5,51,31,0.622,—,115.5,112.1,3.22,2022,Milwaukee Bucks* (3)
6,46,36,0.561,5.0,111.6,112.0,-0.38,2022,Chicago Bulls* (6)
7,44,38,0.537,7.0,107.8,105.7,2.04,2022,Cleveland Cavaliers (8)
8,25,57,0.305,26.0,111.5,114.9,-3.26,2022,Indiana Pacers (13)
9,23,59,0.28,28.0,104.8,112.5,-7.36,2022,Detroit Pistons (14)
10,53,29,0.646,—,110.0,105.6,4.23,2022,Miami Heat* (1)
11,43,39,0.524,10.0,113.9,112.4,1.55,2022,Atlanta Hawks* (9)
12,43,39,0.524,10.0,115.3,114.9,0.53,2022,Charlotte Hornets (10)
13,35,47,0.427,18.0,108.6,112.0,-3.23,2022,Washington Wizards (12)
14,22,60,0.268,31.0,104.2,112.2,-7.67,2022,Orlando Magic (15)
0,49,33,0.598,—,113.6,107.6,5.67,2022,Utah Jazz* (5)
1,48,34,0.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets* (6)
2,46,36,0.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves* (7)
3,27,55,0.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers (13)
4,24,58,0.293,25.0,103.7,111.8,-7.9,2022,Oklahoma City Thunder (14)
5,64,18,0.78,—,114.8,107.3,6.94,2022,Phoenix Suns* (1)
6,53,29,0.646,11.0,111.0,105.5,5.52,2022,Golden State Warriors* (3)
7,42,40,0.512,22.0,108.4,108.4,0.09,2022,Los Angeles Clippers (8)
8,33,49,0.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers (11)
9,30,52,0.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings (12)
10,56,26,0.683,—,115.6,109.9,5.37,2022,Memphis Grizzlies* (2)
11,52,30,0.634,4.0,108.0,104.7,3.12,2022,Dallas Mavericks* (4)
12,36,46,0.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans* (9)
13,34,48,0.415,22.0,113.2,113.0,0.02,2022,San Antonio Spurs (10)
14,20,62,0.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets (15)
